Datetime,Text,Username,Retweets,Favourite Count,Location
2020-07-17 08:11:20+00:00,"Office Administrator responsibilities include: We are looking for a reliable Office Administrator. They will undertake administrative tasks, ensuring the rest of the staff has adequate support to work efficiently. #ikokazi #IkoKaziKE",ladbadhur,1,0,
2020-07-17 08:11:19+00:00,#IkoKaziKE Tips ,shecyclesnbi,0,0,
2020-07-17 08:11:08+00:00,Anyone who can recover deleted media from an android phone? Kindly DM #IkoKaziKE,kingsimports254,0,1,
2020-07-17 08:06:16+00:00,"#IkoKaziKE I need someone to quote for me how much it'll cost to make a 5x6 of this design, and how long it'll take? I am serious about it and ready to order. ",qathuryma,0,1,
2020-07-17 08:05:08+00:00,"“You miss 100% of the shots you don’t take.” – Wayne Gretzky That said, make sure to check out these vacancies we compiled, take that shot and apply. #PataWera #FursaAfrica #IkoKaziKE #IkoKazi #Unemployed #jobseekers #opportunity #COVID19 #StaySafeAtHome",FursaAfrica,2,1,
2020-07-17 08:01:47+00:00,ITU/UN Women Equals in Tech Awards 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/ituun-women-equals-tech-awards-2020/ #IkoKaziKe #PataKaziKe #Gethired #JobSeekers ...,Simon_Ingari,1,0,
2020-07-17 07:58:28+00:00,Access Bank W Initiative Womenpreneur Pitch-a-ton Africa 2020 (N5 million) - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/access-bank-w-initiative-womenpreneur-pitch-ton-africa-2020-n5-million-2/ #IkoKaziKe ... ,Simon_Ingari,1,0,
2020-07-17 07:54:29+00:00,Zee Magazine Africa ‘Beat the Pandemic (COVID-19)’ Virtual Hackathon 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/zee-magazine-africa-beat-pandemic-covid-19-virtual-hackathon-2020-2/ #IkoKaziKe ... ,Simon_Ingari,0,0,
2020-07-17 07:50:50+00:00,AU Democracy and Governance in Africa Youth Innovation Challenge 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/au-democracy-governance-africa-youth-innovation-challenge-2020-2/ #IkoKaziKe #Pat...,Simon_Ingari,0,0,
2020-07-17 07:47:27+00:00,#ikokazike ,shecyclesnbi,0,0,
2020-07-17 07:47:17+00:00,#ikokazike¿ ,shecyclesnbi,0,0,
2020-07-17 07:46:59+00:00,#IkoKaziKe ,shecyclesnbi,0,0,
2020-07-17 07:46:42+00:00,Thread #IkoKaziKe¿ ,shecyclesnbi,0,0,
2020-07-17 07:46:02+00:00,Straight From School Initiative (SFSI) Program 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/straight-school-initiative-sfsi-program-2020-3/ #IkoKaziKe #PataKaziKe #Gethired ...,Simon_Ingari,1,0,
2020-07-17 07:45:34+00:00,#IkoKaziKe Many more have lost their income. ,shecyclesnbi,0,0,
2020-07-17 07:40:11+00:00,ArriveAlive Initiative is looking to hire a Fleet Manager. See responsibility in attached flyer. Click the link below to apply https://drive.google.com/file/d/19Tq0uzNeXs9rkFWMbb52I8703uWChE5W/view?usp=sharing #IkoKaziKE #jobsinkenya #ikokazi #JobsKe #FleetManager,TalantaApp,1,0,
2020-07-17 07:39:42+00:00,#Ruto The most REVERED name in Kenya. A name that TERRIFIES the Corrupt. A name that ANGERS the Cartels. A name that has gives KENYANS Hope. A name that awaits SWEARING IN to the office of the President come 2022 #SportPesa #IkoKaziKE #KameneAndJalas,KE_Fridah_,0,1,
2020-07-17 07:39:11+00:00,We offer Guidance Services on the following: Data analysis Journal writing Dissertations Plagiarism removal T. Paper/Essays Grammar Editing Business Proposals PPT +254728426918 #SportPesa #KameneAndJalas Ruto #IkoKaziKE Eldoret ,KingsResearch_,2,3,
2020-07-17 07:37:32+00:00,"Have you confirmed with you heart, Ni Yeye?? #IkoKaziKE ",gg_karush,1,1,
2020-07-17 07:37:32+00:00,Master the virtual job hunt: 4 tips for getting hired from home https://www.marketwatch.com/story/master-the-virtual-job-hunt-4-tips-for-getting-hired-from-home-2020-07-14?reflink=mw_share_twitter #IkoKaziKE #jobsinkenya #ikokazi #JobsKe,TalantaApp,0,0,
2020-07-17 07:37:17+00:00,"Hello! If you know anybody looking for printing &amp; general branding services for every &amp; anything (or are looking for them yourself) at a very affordable rate please feel free to hit my dm! Kindly retweet, any of my customers could be on your timeline. Thank you! #IkoKaziKE",mildred_kaguhia,11,1,
2020-07-17 07:37:04+00:00,#IkoKaziKE tips for Women ,shecyclesnbi,1,0,
2020-07-17 07:36:30+00:00,Mary Robinson Climate Justice Award 2020 (Fully Funded) - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/mary-robinson-climate-justice-award-2020-fully-funded-2/ #IkoKaziKe #PataKaziKe #Gethi...,Simon_Ingari,2,0,
2020-07-17 07:33:00+00:00,One World Media Coronavirus Reporting Award 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/one-world-media-coronavirus-reporting-award-2020-3/ #IkoKaziKe #PataKaziKe #Gethired #Jo...,Simon_Ingari,1,0,
2020-07-17 07:29:59+00:00,INSEAD MBA Nelson Mandela Endowed Scholarship 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/insead-mba-nelson-mandela-endowed-scholarship-2020-2/ #IkoKaziKe #PataKaziKe #Gethired #...,Simon_Ingari,2,0,
2020-07-17 07:29:09+00:00,ArriveAlive Initiative is looking to hire a BCE Licenced Driver. See responsibilities in attached flyer. Click the link below to apply https://drive.google.com/file/d/19Tq0uzNeXs9rkFWMbb52I8703uWChE5W/view?usp=sharing #IkoKaziKE #jobsinkenya #ikokazi #JobsKe #DriverKE,TalantaApp,0,0,
2020-07-17 07:28:12+00:00,"Good STAR Stories Matter, Especially In Virtual Interviews via @forbes https://www.forbes.com/sites/juliawuench/2020/07/16/good-star-stories-matter-especially-in-virtual-interviews/ #IkoKaziKE #jobsinkenya #ikokazi #JobsKe",TalantaApp,0,0,
2020-07-17 07:27:38+00:00,"UNDP ‘Waste’ Recovery Innovation Challenge 2020 ($40,000 Grant) - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/undp-waste-recovery-innovation-challenge-2020-40000-grant/ #IkoKaziKe #PataKaziK...",Simon_Ingari,0,0,
2020-07-17 07:26:32+00:00,It's Friday be fierce and unstoppable and reach your goals. Let us revamp your CV and cover letter for you. #jobsearch #careercoach #ikokazike #salarynegotiation #careergrowth #cvwriting #coverletter #interviewcoaching #fridaymorning,work_live,3,0,
2020-07-17 07:25:59+00:00,We offer Guidance Services on the following: Data analysis Journal writing Dissertations Plagiarism removal T. Paper/Essays Grammar Editing Business Proposals PPT +254728426918 #SportPesa #KameneAndJalas Ruto #IkoKaziKE ,KingsResearch_,4,3,
2020-07-17 07:24:55+00:00,Lights! Camera! Action! How to ace your video interview and get the job offer https://www.cnbc.com/2020/06/30/how-to-ace-your-video-interview-to-get-the-job-offer.html?__source=sharebar|twitter&amp;par=sharebar #IkoKaziKE #jobsinkenya #ikokazi #JobsKe,TalantaApp,0,0,
2020-07-17 07:24:14+00:00,Fully funded DSM: Brighter Living Scholarship – Nutrition 2020 - https://opportunitiesforyoungkenyans.co.ke/2020/07/17/fully-funded-dsm-brighter-living-scholarship-nutrition-2020/ #IkoKaziKe #PataKaziKe...,Simon_Ingari,1,0,
2020-07-17 07:22:02+00:00,"Happy #friday! #funfactfriday #didyouknow For gas equipment, piping, installations, call/ whatsapp us on 0745260379 #KameneAndJalas #SportPesa #IkoKaziKE Ruto Eldoret ",KenyaNeoEngLtd,1,3,
2020-07-17 07:16:59+00:00,"Interested bidders may obtain tender documents from Westlands NG-CDF office and submit bid before 31st July 2020. Youth, women and PWDs are greatly urged to apply too. #IkoKaziKE ",HonTimWanyonyi,6,10,
2020-07-17 07:16:26+00:00,Our team is growing and we are looking to bring on an innovative Creative Designer. If you have the creative muscles to bring concepts to life we would love to hear from you. Send your CV and portfolio on careers(at)http://belvadigital.com by 24th July 2020 #IkoKaziKE ,BelvaDigital,8,1,
